City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,el granada,37.5027,-122.4694,11.99,94,100,1.54,US,1734405242
290,mlimba,-8.8,35.8167,22.73,98,99,1.32,TZ,1734405243
291,ar ruseris,11.8659,34.3869,24.82,40,36,2.4,SD,1734405245
292,fada,7.25,4.0667,20.13,34,70,1.02,NG,1734405246
293,mityana,0.4175,32.0228,16.94,91,71,0.7,UG,1734405247
294,porto novo,6.4965,2.6036,24.13,89,22,1.95,BJ,1734405248
295,ouani,-12.1322,44.4258,26.41,81,19,2.86,KM,1734405249
296,emerald,-23.5333,148.1667,29.08,68,92,6.41,AU,1734405250
297,luanda,-8.8368,13.2343,26.06,85,91,1.15,AO,1734404828
298,korla,41.7597,86.1469,-7.83,76,3,1.35,CN,1734405253
299,timbuktu,16.7735,-3.0074,18.01,12,36,5.11,ML,1734405254
300,mitu,1.1983,-70.1733,22.12,99,100,0.88,CO,1734405255
301,fort st. john,56.2499,-120.8529,-22.14,94,100,1.32,CA,1734404979
302,piti village,13.4626,144.6933,31.49,70,0,8.75,GU,1734405257
303,dhidhdhoo,6.8833,73.1,27.36,75,100,0.85,MV,1734405258
304,fort bragg,35.139,-79.006,11.0,94,0,0.0,US,1734405062
305,bikenibeu village,1.3673,173.1241,30.98,70,20,6.17,KI,1734405261
306,tanjung selor,2.8372,117.3642,31.97,61,74,1.09,ID,1734405262
307,enewetak,11.3474,162.3373,27.78,85,60,10.41,MH,1734405263
308,harstad,68.799,16.5293,-1.03,94,100,12.07,NO,1734405264
309,undurkhaan,47.3194,110.6556,-10.64,80,5,1.49,MN,1734405265
310,vila franca do campo,37.7167,-25.4333,18.27,99,96,4.25,PT,1734405267
311,khandyga,62.6667,135.6,-34.08,95,28,1.2,RU,1734405268
312,fortuna,40.5982,-124.1573,11.63,96,75,3.6,US,1734405174
313,belaya kholunitsa,58.84,50.8528,-7.29,95,94,3.62,RU,1734405270
314,pires do rio,-17.2997,-48.2794,19.89,90,74,0.52,BR,1734405173
315,shache,38.4167,77.2406,-7.23,76,84,2.87,CN,1734405272
316,kingaroy,-26.5333,151.8333,25.84,78,82,4.73,AU,1734405274
317,sirajganj,24.45,89.7167,18.63,49,1,2.2,BD,1734405275
318,hithadhoo,-0.6,73.0833,27.78,77,55,8.39,MV,1734405276
319,tchintabaraden,15.8969,5.7985,15.72,17,0,4.87,NE,1734405277
320,samaniego,1.3385,-77.5957,17.64,96,100,0.68,CO,1734405278
321,souillac,-20.5167,57.5167,25.21,83,40,5.66,MU,1734405279
322,klyuchi,52.2667,79.1667,-16.33,86,57,3.99,RU,1734405281
323,rio grande,-32.035,-52.0986,18.23,75,0,4.49,BR,1734405282
324,pandharpur,17.6667,75.3333,19.13,33,31,1.74,IN,1734405283
325,robore,-18.3333,-59.75,22.46,48,34,1.26,BO,1734405284
326,viet tri,21.3019,105.4308,17.84,43,5,1.46,VN,1734405285
327,egilsstadir,65.2653,-14.3948,-3.41,83,100,3.49,IS,1734405184
328,arno,60.1167,18.6333,2.21,61,0,8.83,SE,1734405287
329,walvis bay,-22.9575,14.5053,13.94,89,0,5.3,,1734405001
330,joutseno,61.118,28.5076,-10.97,90,98,3.21,FI,1734405290
331,villa gesell,-37.2639,-56.973,15.12,86,0,4.07,AR,1734405209
332,charters towers,-20.1,146.2667,35.79,30,27,3.35,AU,1734405292
333,aroma,15.8167,36.1333,21.2,72,32,3.55,SD,1734405293
334,san luis,-33.295,-66.3356,23.5,37,94,4.21,AR,1734404764
335,rongelap,11.1635,166.8941,27.67,85,88,10.51,MH,1734405296
336,caiaponia,-16.9567,-51.8103,20.15,95,95,0.29,BR,1734405297
337,fort saskatchewan,53.7168,-113.2187,-15.68,96,100,2.68,CA,1734405096
338,st. john's,47.5649,-52.7093,2.31,79,26,1.79,CA,1734405299
339,formosa do rio preto,-11.0483,-45.1931,22.54,87,70,0.59,BR,1734405300
340,de queen,34.0379,-94.3413,16.68,100,100,0.0,US,1734405302
341,trebinje,42.7119,18.3442,7.2,71,0,3.6,BA,1734405303
342,kerema,-7.9631,145.7785,28.85,73,99,2.61,PG,1734405304
343,codrington,-38.2667,141.9667,19.16,50,3,10.11,AU,1734405305
344,kiiminki,65.1314,25.7974,-13.03,92,67,2.54,FI,1734405307
345,kalabo,-14.97,22.6814,20.68,85,88,2.16,ZM,1734405308
346,kuressaare,58.2481,22.5039,3.97,88,20,3.09,EE,1734405309
347,broken hill,-31.95,141.4333,28.81,20,0,9.12,AU,1734405310
348,vorkuta,67.5,64.0,-30.05,100,82,2.2,RU,1734405311
